Oil_Gas_Company_Name;Year;Number_of_Tender;Yearly_Budget
Petro Power EP;2019;40;980000000
Petro Power EP;2020;38;900000000
Petro Power EP;2021;32;800000000
Petro Power EP;2022;37;880000000
Petro Power EP;2023;36;850000000
Energy Source EP;2019;37;900000000
Energy Source EP;2020;35;850000000
Energy Source EP;2021;33;790000000
Energy Source EP;2022;30;720000000
Energy Source EP;2023;28;670000000
Gas Innovators Ltd.;2019;26;630000000
Gas Innovators Ltd.;2020;30;730000000
Gas Innovators Ltd.;2021;32;750000000
Gas Innovators Ltd.;2022;28;660000000
Gas Innovators Ltd.;2023;27;620000000
Oil Dynamics Ltd.;2019;26;640000000
Oil Dynamics Ltd.;2020;20;530000000
Oil Dynamics Ltd.;2021;25;620000000
Oil Dynamics Ltd.;2022;21;535000000
Oil Dynamics Ltd.;2023;24;630000000
Fuel Fusion  Ltd.;2019;26;640000000
Fuel Fusion  Ltd.;2020;21;525000000
Fuel Fusion  Ltd.;2021;25;620000000
Fuel Fusion  Ltd.;2022;21;510000000
Fuel Fusion  Ltd.;2023;24;630000000
Petro Tech  EP;2019;32;800000000
Petro Tech  EP;2020;38;890000000
Petro Tech  EP;2021;35;860000000
Petro Tech  EP;2022;38;920000000
Petro Tech  EP;2023;34;840000000
Gas Solutions  Ltd.;2019;33;790000000
Gas Solutions  Ltd.;2020;30;720000000
Gas Solutions  Ltd.;2021;29;690000000
Gas Solutions  Ltd.;2022;24;580000000
Gas Solutions  Ltd.;2023;31;750000000
Energy Ventures  Ltd.;2019;16;400000000
Energy Ventures  Ltd.;2020;15;370000000
Energy Ventures  Ltd.;2021;18;420000000
Energy Ventures  Ltd.;2022;17;390000000
Energy Ventures  Ltd.;2023;17;400000000
Oil Quest  Ltd.;2019;12;300000000
Oil Quest  Ltd.;2020;11;290000000
Oil Quest  Ltd.;2021;10;260000000
Oil Quest  Ltd.;2022;8;250000000
Oil Quest  Ltd.;2023;7;220000000
PetroWave  Ltd.;2019;26;650000000
PetroWave  Ltd.;2020;28;670000000
PetroWave  Ltd.;2021;24;570000000
PetroWave  Ltd.;2022;22;530000000
PetroWave  Ltd.;2023;20;500000000
Gas Nexus  Ltd.;2019;32;770000000
Gas Nexus  Ltd.;2020;33;790000000
Gas Nexus  Ltd.;2021;30;720000000
Gas Nexus  Ltd.;2022;28;670000000
Gas Nexus  Ltd.;2023;27;640000000
Fuel Masters  EP;2019;42;980000000
Fuel Masters  EP;2020;40;920000000
Fuel Masters  EP;2021;41;950000000
Fuel Masters  EP;2022;41;960000000
Fuel Masters  EP;2023;43;1050000000
Energy Axis  Ltd.;2019;34;800000000
Energy Axis  Ltd.;2020;31;750000000
Energy Axis  Ltd.;2021;29;690000000
Energy Axis  Ltd.;2022;23;540000000
Energy Axis  Ltd.;2023;32;770000000
Oil Dynamics  Ltd.;2019;8;220000000
Oil Dynamics  Ltd.;2020;10;250000000
Oil Dynamics  Ltd.;2021;11;290000000
Oil Dynamics  Ltd.;2022;12;320000000
Oil Dynamics  Ltd.;2023;13;330000000
PetroPulse EP;2019;32;800000000
PetroPulse EP;2020;38;900000000
PetroPulse EP;2021;35;860000000
PetroPulse EP;2022;39;940000000
PetroPulse EP;2023;33;830000000
GasMax  EP;2019;28;680000000
GasMax  EP;2020;33;790000000
GasMax  EP;2021;30;720000000
GasMax  EP;2022;32;750000000
GasMax  EP;2023;20;530000000
FuelCraft  Ltd.;2019;25;620000000
FuelCraft  Ltd.;2020;21;535000000
FuelCraft  Ltd.;2021;23;630000000
FuelCraft  Ltd.;2022;27;650000000
FuelCraft  Ltd.;2023;21;525000000
Energy Edge EP;2019;25;620000000
Energy Edge EP;2020;21;535000000
Energy Edge EP;2021;24;660000000
Energy Edge EP;2022;28;670000000
Energy Edge EP;2023;22;540000000
OilLink  Ltd.  Ltd.;2019;17;400000000
OilLink  Ltd.  Ltd.;2020;13;320000000
OilLink  Ltd.  Ltd.;2021;12;310000000
OilLink  Ltd.  Ltd.;2022;10;260000000
OilLink  Ltd.  Ltd.;2023;7;240000000
PetroCrest  Ltd.;2019;10;300000000
PetroCrest  Ltd.;2020;13;320000000
PetroCrest  Ltd.;2021;12;310000000
PetroCrest  Ltd.;2022;10;260000000
PetroCrest  Ltd.;2023;8;240000000
Gas Nexus Ltd.;2019;10;300000000
Gas Nexus Ltd.;2020;14;370000000
Gas Nexus Ltd.;2021;12;310000000
Gas Nexus Ltd.;2022;10;260000000
Gas Nexus Ltd.;2023;8;240000000
FuelGenius EP;2019;10;300000000
FuelGenius EP;2020;14;370000000
FuelGenius EP;2021;12;310000000
FuelGenius EP;2022;10;260000000
FuelGenius EP;2023;8;240000000
Energy Sphere  Ltd.;2019;10;300000000
Energy Sphere  Ltd.;2020;14;370000000
Energy Sphere  Ltd.;2021;12;310000000
Energy Sphere  Ltd.;2022;10;260000000
Energy Sphere  Ltd.;2023;8;240000000
Oil Optics Ltd.;2019;4;180000000
Oil Optics Ltd.;2020;3;150000000
Oil Optics Ltd.;2021;3;150000000
Oil Optics Ltd.;2022;5;220000000
Oil Optics Ltd.;2023;2;120000000
PetroWise Ltd. ;2019;4;180000000
PetroWise Ltd. ;2020;3;150000000
PetroWise Ltd. ;2021;4;150000000
PetroWise Ltd. ;2022;5;220000000
PetroWise Ltd. ;2023;2;120000000
Gas Dynamics Ltd.;2019;11;280000000
Gas Dynamics Ltd.;2020;2;120000000
Gas Dynamics Ltd.;2021;11;280000000
Gas Dynamics Ltd.;2022;2;120000000
Gas Dynamics Ltd.;2023;25;620000000
Fuel Fusion  Ltd.;2019;33;790000000
Fuel Fusion  Ltd.;2020;30;720000000
Fuel Fusion  Ltd.;2021;32;750000000
Fuel Fusion  Ltd.;2022;25;620000000
Fuel Fusion  Ltd.;2023;25;620000000
Energy Pulse EP;2019;4;240000000
Energy Pulse EP;2020;5;290000000
Energy Pulse EP;2021;5;290000000
Energy Pulse EP;2022;2;120000000
Energy Pulse EP;2023;1;280000000
Oil Innovators  Ltd.;2019;3;220000000
Oil Innovators  Ltd.;2020;4;120000000
Oil Innovators  Ltd.;2021;5;280000000
Oil Innovators  Ltd.;2022;2;120000000
Oil Innovators  Ltd.;2023;11;280000000
PetroSynergy  Ltd.;2019;28;680000000
PetroSynergy  Ltd.;2020;33;790000000
PetroSynergy  Ltd.;2021;30;720000000
PetroSynergy  Ltd.;2022;32;750000000
PetroSynergy  Ltd.;2023;20;530000000
;;20.69333333;523566666.7
