Province;Small_Medium;Large
DI.ACEH;3;2
SUMATERA UTARA;2;5
SUMATERA BARAT;3;2
RIAU;2;3
JAMBI;2;4
SUMATERA SELATAN;3;4
BENGKULU;2;5
LAMPUNG;5;4
KEPULAUAN BANGKA BELITUNG;2;4
KEPULAUAN RIAU;2;4
DKI JAKARTA;7;11
JAWA BARAT;4;9
JAWA TENGAH;3;6
DAERAH ISTIMEWA YOGYAKARTA;6;5
JAWA TIMUR;3;6
BANTEN;6;6
BALI;2;8
NUSATENGGARA BARAT;4;2
NUSATENGGARA TIMUR;2;6
KALIMANTAN BARAT;4;4
KALIMANTAN TENGAH;2;4
KALIMANTAN SELATAN;2;4
KALIMANTAN TIMUR;5;3
SULAWESI UTARA;3;3
SULAWESI TENGAH;3;5
SULAWESI SELATAN;3;5
SULAWESI TENGGARA;3;3
GORONTALO;3;5
SULAWESI BARAT;4;4
MALUKU;2;3
MALUKU UTARA;3;2

